Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,115.13,115.6,112.25,112.93,482953.0,112.93
2018-03-26,113.0,114.6,112.9301,114.41,785374.0,114.41
2018-03-23,115.25,115.875,112.16,112.39,623344.0,112.39
2018-03-22,116.81,117.5,115.17,115.2,721568.0,115.2
2018-03-21,117.04,118.45,116.43,117.92,686633.0,117.92
2018-03-20,116.98,118.64,116.61,116.94,612438.0,116.94
2018-03-19,116.18,117.41,115.79,116.61,599050.0,116.61
2018-03-16,116.15,116.91,116.11,116.26,806337.0,116.26
2018-03-15,116.08,116.97,115.61,116.15,642396.0,116.15
2018-03-14,118.34,118.5,115.46,116.08,979436.0,116.08
2018-03-13,119.19,120.28,118.13,118.4,905897.0,118.4
2018-03-12,121.0,121.47,118.64,118.91,543419.0,118.91
2018-03-09,117.25,121.15,117.25,121.09,909261.0,121.09
2018-03-08,117.78,118.14,115.99,116.48,639828.0,116.48
2018-03-07,116.21,117.65,115.42,117.37,887635.0,117.37
2018-03-06,117.04,117.96,116.84,117.61,747167.0,117.61
2018-03-05,115.61,116.81,113.27,116.69,1272652.0,116.69
2018-03-02,114.73,116.68,113.24,116.39,915050.0,116.39
2018-03-01,116.01,117.2575,114.89,115.61,996678.0,115.61
2018-02-28,116.45,117.69,115.78,115.78,1049204.0,115.78
2018-02-27,118.04,118.05,115.65,115.96,1543942.0,115.96
2018-02-26,119.95,120.4,117.97,118.02,1306072.0,118.02
2018-02-23,120.13,120.68,119.28,119.59,770459.0,119.59
2018-02-22,121.76,121.88,119.23,119.75,947077.0,119.75
2018-02-21,120.75,123.02,120.6,121.12,771464.0,121.12
2018-02-20,120.23,122.59,120.23,120.77,665420.0,120.77
2018-02-16,122.65,122.82,121.01,121.08,597012.0,121.08
2018-02-15,121.86,123.99,121.79,122.62,1006732.0,122.62
2018-02-14,117.97,121.93,117.97,121.67,1966731.0,121.67
2018-02-13,116.03,118.23,115.71,117.92,1234668.0,117.92
2018-02-12,115.65,116.94,114.97,116.31,1021371.0,116.31
2018-02-09,114.56,115.895,110.77,115.02,1079891.0,115.02
2018-02-08,118.26,118.7,113.53,113.56,852224.0,113.56
2018-02-07,119.43,120.78,118.41,118.72,790704.0,118.72
2018-02-06,114.09,120.18,113.62,119.77,1691747.0,119.77
2018-02-05,120.19,121.84,116.19,116.77,1126442.0,116.77
2018-02-02,124.91,124.91,121.20100000000001,121.54,755524.0,121.54
2018-02-01,123.45,125.41,122.99,125.12,730419.0,125.12
2018-01-31,124.15,124.86,123.68,124.13,645505.0,124.13
2018-01-30,124.55,125.28,123.11,123.47,766565.0,123.47
2018-01-29,124.47,125.69,123.775,125.02,1114621.0,125.02
2018-01-26,125.66,125.72,124.25,124.96,1066583.0,124.96
2018-01-25,125.54,125.74,123.92,125.09,1692504.0,125.09
2018-01-24,127.73,127.78,124.83,125.27,847937.0,125.27
2018-01-23,126.7,127.84,126.5,127.33,542212.0,127.33
2018-01-22,126.6,127.47,126.1,127.35,1426364.0,127.35
2018-01-19,124.36,127.96,124.36,126.99,2218712.0,126.99
2018-01-18,120.2,124.05,120.2,122.73,1944426.0,122.73
2018-01-17,117.19,117.74,116.53,117.13,756571.0,117.13
2018-01-16,118.43,119.21,116.7,117.08,1217309.0,117.08
2018-01-12,116.99,117.96,116.4,117.93,987719.0,117.93
2018-01-11,113.24,116.94,112.61,116.89,975403.0,116.89
2018-01-10,112.93,113.505,112.5,112.71,621439.0,112.71
2018-01-09,114.27,114.38,112.78,113.37,781154.0,113.37
2018-01-08,112.74,114.2,111.6,113.86,1094775.0,113.86
2018-01-05,115.71,115.93,111.44,112.44,2155137.0,112.44
2018-01-04,117.85,117.95,115.42,115.73,926897.0,115.73
2018-01-03,116.6,117.62,116.6,117.5,683521.0,117.5
2018-01-02,116.59,116.93,115.42,116.84,676560.0,116.84
2017-12-29,117.0,117.0,115.87,115.87,848398.0,115.87
2017-12-28,115.64,116.72,115.43,116.66,670190.0,116.66
2017-12-27,113.89,115.37,113.89,115.37,381423.0,115.37
2017-12-26,113.56,114.54,113.5,113.91,508335.0,113.91
2017-12-22,113.02,113.81,112.63,113.58,855002.0,113.58
2017-12-21,113.85,114.355,112.98,113.37,1243826.0,113.37
2017-12-20,113.595,113.9,112.81,112.83,483141.0,112.83
2017-12-19,114.43,114.54,113.11,113.56,583689.0,113.56
2017-12-18,113.71,115.22,113.2,114.48,686729.0,114.48
2017-12-15,111.19,112.74,111.03,112.61,1116379.0,112.61
2017-12-14,111.72,112.005,110.67,110.77,1069724.0,110.77
2017-12-13,112.0,112.56,111.66,111.8,556156.0,111.8
2017-12-12,112.95,113.07,111.84,111.98,692785.0,111.98
2017-12-11,112.63,113.42,112.01,112.74,979616.0,112.74
2017-12-08,113.31,113.8,112.76,113.05,412106.0,113.05
2017-12-07,112.37,113.4,112.2,112.77,667727.0,112.77
2017-12-06,113.06,113.21,112.21,112.77,773837.0,112.77
2017-12-05,112.37,114.49,112.27,112.9,1214922.0,112.9
2017-12-04,112.66,114.13,112.17,112.21,912469.0,112.21
2017-12-01,112.45,113.0,109.78,111.67,644530.0,111.67
2017-11-30,112.36,112.85,110.69,112.39,1373954.0,112.39
2017-11-29,110.54,112.48,110.26,112.27,922880.0,112.27
2017-11-28,109.33,110.75,108.84,110.35,1343528.0,110.35
2017-11-27,109.31,109.94,108.86,108.87,824404.0,108.87
2017-11-24,109.34,109.58,108.78,109.07,225679.0,109.07
2017-11-22,110.56,110.56,109.301,109.64,959449.0,109.64
2017-11-21,109.8,110.88,109.79,110.27,1010843.0,110.27
2017-11-20,108.71,109.66,108.53,109.53,467218.0,109.53
2017-11-17,107.8,109.27,107.78,108.76,610180.0,108.76
2017-11-16,107.35,108.51,106.8,108.23,967158.0,108.23
2017-11-15,106.67,106.91,105.66,106.48,836622.0,106.48
2017-11-14,105.98,107.62,105.25,107.54,1068694.0,107.54
2017-11-13,105.61,106.91,105.495,106.3,1127933.0,106.3
2017-11-10,106.58,106.61,104.77,106.07,1395095.0,106.07
2017-11-09,108.15,109.14,106.31,106.94,1588801.0,106.94
