Date,Open,High,Low,Close,Volume,AdjClose
2018-03-27,84.37,86.67,83.45,85.55,1216278.0,85.55
2018-03-26,83.67,84.56,82.87,84.36,1375090.0,84.36
2018-03-23,84.11,84.7,82.8,82.98,864340.0,82.98
2018-03-22,85.18,85.73,84.23,84.31,971075.0,84.31
2018-03-21,85.43,86.14,84.46,85.19,831442.0,85.19
2018-03-20,85.34,86.17,84.99,85.52,904575.0,85.52
2018-03-19,85.98,86.02,84.38,85.1,1340951.0,85.1
2018-03-16,85.96,86.28,85.7,85.98,1634516.0,85.98
2018-03-15,85.93,86.47,85.64,86.23,925692.0,86.23
2018-03-14,87.34,87.47,85.8161,86.16,1028960.0,86.16
2018-03-13,87.78,88.24,87.137,87.91,1712583.0,87.91
2018-03-12,88.26,88.479,87.29,87.56,1113520.0,87.56
2018-03-09,87.49,88.19,86.63,88.19,730127.0,88.19
2018-03-08,86.18,87.13,85.73,87.05,571036.0,87.05
2018-03-07,86.12,86.87,85.54,86.19,647073.0,86.19
2018-03-06,85.99,86.59,84.75,86.25,703556.0,86.25
2018-03-05,84.64,87.02,84.64,86.22,869419.0,86.22
2018-03-02,85.88,86.3,84.17,85.05,844082.0,85.05
2018-03-01,85.12,86.86,85.02,85.86,975742.0,85.86
2018-02-28,85.36,86.55,84.8,85.05,951678.0,85.05
2018-02-27,86.86,87.24,84.87,84.88,974366.0,84.88
2018-02-26,87.11,87.79,86.36,86.66,1325024.0,86.66
2018-02-23,84.91,86.63,84.43,86.6,949184.0,86.6
2018-02-22,81.77,84.71,80.18,84.43,1441378.0,84.43
2018-02-21,82.63,86.0,81.4,81.5,2646617.0,81.5
2018-02-20,82.0,82.49,80.61,80.75,1219786.0,80.75
2018-02-16,82.37,83.16,81.37,82.2,1191004.0,82.2
2018-02-15,81.71,82.87,81.45,82.51,1122572.0,82.51
2018-02-14,81.46,81.67,80.18,81.14,1052607.0,81.14
2018-02-13,80.8,83.02,80.72,82.58,965752.0,82.58
2018-02-12,80.67,81.09,78.61,80.8,1188737.0,80.8
2018-02-09,78.17,81.1,77.63,80.39,2294643.0,80.39
2018-02-08,80.25,80.6,77.53,77.56,1181064.0,77.56
2018-02-07,79.52,81.1,79.28,80.42,1093946.0,80.42
2018-02-06,79.06,80.89,77.6,79.73,1266979.0,79.73
2018-02-05,81.32,82.14,78.92,79.87,1103074.0,79.87
2018-02-02,81.6,82.5499,80.65,81.84,1202046.0,81.84
2018-02-01,83.54,83.54,81.72,82.06,1193594.0,82.06
2018-01-31,82.94,83.89,82.72,83.48,4794422.0,83.48
2018-01-30,82.32,83.29,81.66,82.91,1000492.0,82.91
2018-01-29,83.91,83.91,82.34,82.79,1193389.0,82.79
2018-01-26,85.25,85.25,83.78,84.21,1008189.0,84.21
2018-01-25,85.22,85.3,84.24,85.0,858927.0,85.0
2018-01-24,86.69,86.99,85.07,85.54,798072.0,85.54
2018-01-23,85.38,87.04,85.13,86.72,1203855.0,86.72
2018-01-22,83.8,85.43,83.33,85.15,1248776.0,85.15
2018-01-19,82.79,83.65,82.54,83.64,1008419.0,83.64
2018-01-18,83.46,83.46,82.13,82.7,1067362.0,82.7
2018-01-17,83.03,84.04,82.875,83.46,1169261.0,83.46
2018-01-16,82.36,84.11,82.36,82.71,882543.0,82.71
2018-01-12,82.28,82.29,81.36,82.25,823449.0,82.25
2018-01-11,82.38,83.16,82.135,82.25,767394.0,82.25
2018-01-10,82.74,82.79,80.4801,82.36,1049934.0,82.36
2018-01-09,84.86,85.44,83.0098,83.11,1044698.0,83.11
2018-01-08,84.1,85.36,83.96,85.17,1117182.0,85.17
2018-01-05,84.44,84.7444,83.8101,83.9,813463.0,83.9
2018-01-04,85.76,86.09,83.82,84.3,700562.0,84.3
2018-01-03,85.78,87.015,85.5,85.86,711537.0,85.86
2018-01-02,87.75,87.83,85.55,85.68,1112929.0,85.68
2017-12-29,87.83,88.03,87.36,87.45,629660.0,87.45
2017-12-28,87.5,87.91,87.05,87.76,563257.0,87.76
2017-12-27,87.03,87.74,87.02,87.41,421241.0,87.41
2017-12-26,86.31,87.05,85.9,86.8,504902.0,86.8
2017-12-22,85.57,86.12,85.065,86.12,563502.0,86.12
2017-12-21,85.785,86.07,84.9,85.17,681146.0,85.17
2017-12-20,86.28,86.56,85.61,85.66,898476.0,85.66
2017-12-19,87.73,87.73,85.89,86.2,1080870.0,86.2
2017-12-18,87.64,88.32,87.44,87.58,708364.0,87.58
2017-12-15,87.0,87.71,86.5,87.56,1415066.0,87.56
2017-12-14,86.835,87.2,86.58,86.6,901039.0,86.6
2017-12-13,88.5,88.56,87.58,87.6,956400.0,87.6
2017-12-12,87.73,88.4,87.29,87.86,1086517.0,87.86
2017-12-11,86.14,88.0,85.955,87.82,905469.0,87.82
2017-12-08,85.54,86.64,85.195,86.28,880605.0,86.28
2017-12-07,85.7,85.7,84.39,85.25,899594.0,85.25
2017-12-06,84.93,85.78,84.7061,85.44,845387.0,85.44
2017-12-05,85.15,85.74,84.62,84.87,677007.0,84.87
2017-12-04,85.22,85.62,84.71,84.85,1079612.0,84.85
2017-12-01,85.58,86.08,84.781,85.2,1144621.0,85.2
2017-11-30,85.33,85.95,85.01,85.36,1613051.0,85.36
2017-11-29,85.3,86.18,84.89,85.06,1131700.0,85.06
2017-11-28,87.4,87.525,83.92,85.21,1396902.0,85.21
